Retailer,RetailerID,InvoiceDate,Region,State,City,Product,PricePerUnit,UnitsSold,TotalSales,OperatingProfit,SalesMethod
Walmart,1128299,17-06-2021,Southeast,Florida,Orlando,Women's Apparel,103.00,218,2245.00,1257.00,Online
West Gear,1128299,16-07-2021,South,Louisiana,New Orleans,Women's Apparel,103.00,163,1679.00,806.00,Online
Sports Direct,1197831,25-08-2021,South,Alabama,Birmingham,Men's Street Footwear,10.00,700,7000.00,3150.00,Outlet
Sports Direct,1197831,27-08-2021,South,Alabama,Birmingham,Women's Street Footwear,15.00,575,8625.00,3881.00,Outlet
Sports Direct,1197831,21-08-2021,South,Alabama,Birmingham,Women's Street Footwear,15.00,475,7125.00,3206.00,Outlet
West Gear,1185732,01-11-2021,Midwest,Missouri,St. Louis,Women's Street Footwear,15.00,475,7125.00,2494.00,In-store
Sports Direct,1185732,17-11-2021,South,Mississippi,Jackson,Men's Athletic Footwear,20.00,450,9000.00,3150.00,Online
Sports Direct,1197831,23-01-2021,South,Mississippi,Jackson,Women's Street Footwear,15.00,450,6750.00,2700.00,Online
West Gear,1185732,04-03-2021,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,20.00,450,9000.00,2700.00,In-store
Foot Locker,1185732,03-10-2020,Northeast,New York,New York,Men's Street Footwear,44.00,434,1910.00,993.00,Outlet
Foot Locker,1185732,18-01-2021,Midwest,Michigan,Detroit,Women's Street Footwear,20.00,425,8500.00,2975.00,In-store
West Gear,1185732,02-11-2021,Midwest,Missouri,St. Louis,Women's Street Footwear,15.00,425,6375.00,2231.00,In-store
West Gear,1185732,06-11-2021,West,Utah,Salt Lake City,Women's Street Footwear,20.00,425,8500.00,2975.00,In-store
Amazon,1185732,04-10-2021,Midwest,Ohio,Columbus,Women's Street Footwear,20.00,425,8500.00,3400.00,Online
Foot Locker,1185732,16-03-2021,South,Mississippi,Jackson,Women's Street Footwear,15.00,425,6375.00,2550.00,Online
Walmart,1185732,16-09-2021,South,Mississippi,Jackson,Women's Street Footwear,20.00,425,8500.00,3400.00,Online
Walmart,1197831,21-02-2021,South,Arkansas,Little Rock,Women's Apparel,20.00,425,8500.00,3400.00,Online
Walmart,1197831,21-10-2021,South,Arkansas,Little Rock,Men's Athletic Footwear,20.00,425,8500.00,2975.00,Online
Walmart,1185732,05-03-2020,Northeast,New York,New York,Men's Street Footwear,48.00,420,2016.00,1129.00,Outlet
Walmart,1185732,19-04-2020,Northeast,New York,New York,Men's Street Footwear,39.00,408,1591.00,875.00,Outlet
Walmart,1185732,27-04-2020,Northeast,New York,New York,Men's Street Footwear,46.00,403,1854.00,1038.00,Outlet
West Gear,1185732,03-10-2021,West,Utah,Salt Lake City,Women's Street Footwear,20.00,400,8000.00,2800.00,In-store
West Gear,1185732,06-11-2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20.00,400,8000.00,3200.00,In-store
West Gear,1185732,10-11-2021,West,Utah,Salt Lake City,Men's Athletic Footwear,20.00,400,8000.00,2800.00,In-store
West Gear,1185732,11-11-2021,West,Utah,Salt Lake City,Men's Athletic Footwear,20.00,400,8000.00,2800.00,In-store
Walmart,1185732,16-09-2021,South,Mississippi,Jackson,Women's Athletic Footwear,20.00,400,8000.00,3200.00,Online
Sports Direct,1197831,21-02-2021,South,Mississippi,Jackson,Women's Street Footwear,15.00,400,6000.00,2400.00,Online
Foot Locker,1185732,03-04-2020,Northeast,New York,New York,Men's Street Footwear,47.00,400,1880.00,978.00,Outlet
Foot Locker,1185732,25-01-2020,Northeast,New York,New York,Men's Street Footwear,40.00,390,1560.00,811.00,Outlet
Foot Locker,1185732,01-07-2020,Northeast,New York,New York,Men's Street Footwear,33.00,388,1280.00,666.00,Outlet
Foot Locker,1185732,01-01-2020,Northeast,New York,New York,Men's Street Footwear,34.00,384,1306.00,679.00,Outlet
Foot Locker,1185732,02-07-2021,Southeast,Georgia,Atlanta,Men's Street Footwear,31.00,376,1166.00,559.00,Outlet
Sports Direct,1197831,22-08-2021,South,Alabama,Birmingham,Women's Athletic Footwear,20.00,375,7500.00,4125.00,Outlet
Foot Locker,1185732,18-02-2021,Midwest,Michigan,Detroit,Women's Street Footwear,20.00,375,7500.00,2625.00,In-store
West Gear,1185732,08-11-2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20.00,375,7500.00,3000.00,In-store
West Gear,1185732,11-11-2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20.00,375,7500.00,3000.00,In-store
Foot Locker,1185732,17-04-2021,South,Mississippi,Jackson,Women's Street Footwear,15.00,375,5625.00,2250.00,Online
West Gear,1197831,20-11-2021,South,Arkansas,Little Rock,Men's Athletic Footwear,15.00,375,5625.00,1969.00,Online
West Gear,1197831,23-01-2021,South,Arkansas,Little Rock,Women's Street Footwear,15.00,375,5625.00,2250.00,Online
Foot Locker,1185732,16-03-2020,Northeast,New York,New York,Men's Street Footwear,41.00,375,1538.00,800.00,Outlet
Walmart,1197831,26-08-2020,South,Texas,Houston,Women's Street Footwear,29.00,374,1085.00,445.00,Outlet
Walmart,1197831,09-01-2020,South,Texas,Houston,Women's Street Footwear,29.00,374,1085.00,445.00,Outlet
